"","GK1","GK2","DEF1","DEF2","DEF3","DEF4","DEF5","MID1","MID2","MID3","MID4","MID5","FWD1","FWD2","FWD3","Points","Cost","OK"
"Player839","Guaita","de Gea","Tarkowski","Lindelöf","van Dijk","Alexander-Arnold","Fredericks","Rodrigo","Wijnaldum","Lundstram","Moutinho","De Bruyne","Ings","Vardy","Richarlison",2281,99.5,TRUE
"Player586","Guaita","Schmeichel","van Dijk","Robertson","Coady","Alexander-Arnold","Basham","Lundstram","Maddison","Moutinho","Rashford","Ritchie","Ings","Jiménez","Ayew",2260,97,TRUE
"Player759","Ryan","Patrício","Stevens","Tarkowski","Dunk","Wan-Bissaka","Egan","McArthur","Ritchie","Trossard","Mahrez","De Bruyne","Ings","Jiménez","Vardy",2259,100,TRUE
"Player978","Pope","Leno","Basham","Doherty","Alexander-Arnold","Coady","van Aanholt","Westwood","Lundstram","Fleck","Wijnaldum","Salah","Ings","Maupay","Vardy",2253,99,TRUE
"Player257","Pickford","Henderson","Diop","Baldock","Robertson","Lindelöf","van Dijk","Mahrez","Neves","Trossard","McNeil","De Bruyne","Ayew","Martial","Jiménez",2246,100,TRUE
"Player337","Henderson","Schmeichel","Stevens","Alexander-Arnold","Pereira","Saïss","Azpilicueta","De Bruyne","Kouyaté","Jorginho","Mahrez","Harry Wilson","Ayew","Martial","Jiménez",2244,100,TRUE
"Player868","Dubravka","Pope","Baldock","Tarkowski","Doherty","Alexander-Arnold","Dunk","Kouyaté","Douglas Luiz","Ndidi","De Bruyne","Mooy","Abraham","Ings","Jiménez",2239,96,TRUE
"Player722","Arrizabalaga","Pope","van Dijk","Basham","Doherty","Coady","Söyüncü","Armstrong","Noble","Rodrigo","De Bruyne","Son","Ings","Abraham","Martial",2232,100,TRUE
"Player29","Schmeichel","Henderson","Egan","Stevens","Lascelles","Robertson","Tarkowski","Lundstram","De Bruyne","Ward-Prowse","Almirón","Son","Vardy","Wood","Haller",2226,99.5,TRUE
"Player570","Pope","Patrício","Wan-Bissaka","van Dijk","Evans","Stevens","Alexander-Arnold","Pröpper","Greenwood","Westwood","Tielemans","Pépé","Ings","Jiménez","Martial",2222,100,TRUE
"Player186","Henderson","Dubravka","Webster","Robertson","van Dijk","Maguire","Mee","Trossard","Ward-Prowse","Traoré","Mahrez","Shelvey","Vardy","Martial","Ings",2222,99,TRUE
"Player518","Patrício","Schmeichel","Egan","Evans","Stevens","Robertson","Alexander-Arnold","Norwood","Henderson","Lucas Moura","Mahrez","Ward-Prowse","Haller","Martial","Vardy",2221,99,TRUE
"Player309","Patrício","Ryan","Doherty","Tarkowski","Aurier","Mee","Baldock","Mané","Mount","McNeil","Maddison","Noble","Maupay","Jiménez","Vardy",2220,99.5,TRUE
"Player565","Dubravka","de Gea","Alexander-Arnold","Keane","Stevens","Lindelöf","Dunk","Rodrigo","Trézéguet","Pérez","De Bruyne","McGinn","Ings","Martial","Jiménez",2218,99,TRUE
"Player904","Henderson","Ederson","Lindelöf","Alexander-Arnold","Chilwell","Boly","Robertson","Henderson","Dendoncker","Lundstram","Barnes","Mount","Richarlison","Vardy","Martial",2216,99,TRUE
"Player637","de Gea","Patrício","Dunk","Burn","Robertson","Stevens","Coady","Fabinho","Mahrez","De Bruyne","Henderson","Ward-Prowse","Jiménez","Wood","Ings",2215,98.5,TRUE
"Player771","Patrício","Pope","Tarkowski","Dunk","Egan","Coady","Söyüncü","Noble","Norwood","Rashford","De Bruyne","Harry Wilson","Abraham","Vardy","Richarlison",2215,99,TRUE
"Player611","Ryan","Patrício","Robertson","David Luiz","Doherty","Lindelöf","Dunk","Westwood","Barnes","Noble","Salah","Jota","Wood","Martial","Vardy",2214,100,TRUE
"Player413","Patrício","Pope","Dunk","van Dijk","Jonny","Alderweireld","Fernández","Jorginho","Moutinho","Salah","Lundstram","Mahrez","Maupay","Vardy","Richarlison",2214,99.5,TRUE
"Player478","Ryan","Arrizabalaga","Stevens","Alexander-Arnold","Basham","Robertson","Tarkowski","Trossard","Kouyaté","De Bruyne","Saint-Maximin","Westwood","Ings","Maupay","Vardy",2213,98.5,TRUE
